Cost_date,Product_id,Data_Measure_id,Amount
4/1/20,ENS,14, $644.84 
4/1/20,INGEST,10," $102,723.76 "
4/1/20,INGEST,11,
4/1/20,INGEST,12," $15,392.07 "
4/1/20,INGEST,13," $118,115.83 "
4/1/20,INGEST,14,
4/1/20,LANEID,10, $10.84 
4/1/20,LANEID,11,
4/1/20,LANEID,12, $129.59 
4/1/20,LANEID,13, $140.43 
4/1/20,LANEID,14,
4/1/20,MARKETPLACE,10, $554.53 
4/1/20,MARKETPLACE,11,
4/1/20,MARKETPLACE,12," $1,289.27 "
4/1/20,MARKETPLACE,13," $1,843.80 "
4/1/20,MARKETPLACE,14,
4/1/20,MSFP EXTERNAL STREAMING,10, $265.63 
4/1/20,MSFP EXTERNAL STREAMING,11,
4/1/20,MSFP EXTERNAL STREAMING,12, $324.40 
4/1/20,MSFP EXTERNAL STREAMING,13, $590.03 
4/1/20,MSFP EXTERNAL STREAMING,14,
4/1/20,NEXT_DESTINATION,10,
4/1/20,NEXT_DESTINATION,11, $11.93 
4/1/20,NEXT_DESTINATION,12,
4/1/20,NEXT_DESTINATION,13, $11.93 
4/1/20,NEXT_DESTINATION,14,
4/1/20,OPERATIONS,10," $1,411.09 "
4/1/20,OPERATIONS,11, $25.00 
4/1/20,OPERATIONS,12, $504.71 
4/1/20,OPERATIONS,13," $1,940.81 "
4/1/20,OPERATIONS,14,
4/1/20,SERVICE-WARNING,10, $0.99 
4/1/20,SERVICE-WARNING,11,
4/1/20,SERVICE-WARNING,12, $2.19 
4/1/20,SERVICE-WARNING,13, $3.18 
4/1/20,SERVICE-WARNING,14,
4/1/20,TELEMETRY,10," $3,429.57 "
4/1/20,TELEMETRY,11, $883.67 
4/1/20,TELEMETRY,12," $1,445.82 "
4/1/20,TELEMETRY,13," $5,759.06 "
4/1/20,TELEMETRY,14," $2,329.49 "
4/1/20,TELEMETRY-STREAMING,10, $9.27 
4/1/20,TELEMETRY-STREAMING,11,
4/1/20,TELEMETRY-STREAMING,12, $99.46 
4/1/20,TELEMETRY-STREAMING,13, $108.74 
4/1/20,TELEMETRY-STREAMING,14, $99.46 
4/1/20,TIMS,10," $5,128.09 "
4/1/20,TIMS,11,
4/1/20,TIMS,12, $768.03 
4/1/20,TIMS,13," $5,896.12 "
4/1/20,TIMS,14,
5/1/20,ACN,10, $936.87 
5/1/20,ACN,11," $16,600.26 "
5/1/20,ACN,12, $759.35 
5/1/20,ACN,13," $18,296.49 "
5/1/20,ACN,14," $17,359.61 "
5/1/20,ADHOC,10, $1.00 
5/1/20,ADHOC,11," $2,549.03 "
5/1/20,ADHOC,12,
5/1/20,ADHOC,13," $2,550.03 "
5/1/20,ADHOC,14,
5/1/20,CPA COMPLIANCE,10, $33.13 
5/1/20,CPA COMPLIANCE,11,
5/1/20,CPA COMPLIANCE,12, $0.02 
5/1/20,CPA COMPLIANCE,13, $33.15 
5/1/20,CPA COMPLIANCE,14,
5/1/20,COMMON,10,
5/1/20,COMMON,11,
5/1/20,COMMON,12,
5/1/20,COMMON,13,
5/1/20,COMMON,14,
5/1/20,DATA SCIENCE,10, $169.33 
5/1/20,DATA SCIENCE,11, $132.27 
5/1/20,DATA SCIENCE,12, $184.07 
5/1/20,DATA SCIENCE,13, $485.66 
5/1/20,DATA SCIENCE,14,
5/1/20,DRIVER SCORE,10," $3,792.55 "
5/1/20,DRIVER SCORE,11,
5/1/20,DRIVER SCORE,12, $883.24 
5/1/20,DRIVER SCORE,13," $4,675.79 "
5/1/20,DRIVER SCORE,14, $883.24 
5/1/20,DRIVERSCORE-B2B,10,
5/1/20,DRIVERSCORE-B2B,11,
5/1/20,DRIVERSCORE-B2B,12, $46.67 
5/1/20,DRIVERSCORE-B2B,13, $46.67 
5/1/20,DRIVERSCORE-B2B,14, $46.67 
5/1/20,ENS,10, $978.64 
5/1/20,ENS,11,
5/1/20,ENS,12, $653.73 
5/1/20,ENS,13," $1,632.38 "
5/1/20,ENS,14, $653.73 
5/1/20,INGEST,10," $133,298.43 "
5/1/20,INGEST,11,
5/1/20,INGEST,12," $14,696.34 "
5/1/20,INGEST,13," $147,994.77 "
5/1/20,INGEST,14,
5/1/20,LANEID,10, $11.23 
5/1/20,LANEID,11,
5/1/20,LANEID,12, $133.93 
5/1/20,LANEID,13, $145.15 
5/1/20,LANEID,14,
5/1/20,MARKETPLACE,10, $763.39 
5/1/20,MARKETPLACE,11,
5/1/20,MARKETPLACE,12," $1,099.59 "
5/1/20,MARKETPLACE,13," $1,862.98 "
5/1/20,MARKETPLACE,14,
5/1/20,MSFP EXTERNAL STREAMING,10, $358.32 
5/1/20,MSFP EXTERNAL STREAMING,11,
5/1/20,MSFP EXTERNAL STREAMING,12, $336.23 
